"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"bibd_49_3.mtx.hgr","SPM",128,13817,13817,0,1.182
"bips07_1998.mtx.hgr","SPM",2,68,68,0,0.072
"bips07_1998.mtx.hgr","SPM",4,153,153,0.00796389700027,0.112
"bips07_1998.mtx.hgr","SPM",8,257,257,0.00636942675159,0.167
"bips07_1998.mtx.hgr","SPM",16,453,453,0.00530785562633,0.232
"bips07_1998.mtx.hgr","SPM",32,724,724,0.00424628450106,0.301
"bips07_1998.mtx.hgr","SPM",64,1112,1112,0.00423728813559,0.386
"bips07_1998.mtx.hgr","SPM",128,1731,1731,0.00847457627119,0.516
"bloweya.mtx.hgr","SPM",2,4908,4908,0.019797360352,0.242
"bloweya.mtx.hgr","SPM",4,7469,7469,0.0198640181309,0.476
"bloweya.mtx.hgr","SPM",8,8771,8771,0.0194614769395,0.981
"bloweya.mtx.hgr","SPM",16,9453,9453,0.0181236673774,1.189
"bloweya.mtx.hgr","SPM",32,9856,9856,0.0159914712154,1.371
"bloweya.mtx.hgr","SPM",64,10178,10178,0.0127931769723,1.561
"bloweya.mtx.hgr","SPM",128,10573,10573,0.0127659574468,1.724
"bundle1.mtx.hgr","SPM",2,1528,1528,0.010584010584,2.126
"bundle1.mtx.hgr","SPM",4,3807,3807,0.0185185185185,4.294
"bundle1.mtx.hgr","SPM",8,8090,8090,0.0113378684807,6.156
"bundle1.mtx.hgr","SPM",16,12567,12567,0.0166163141994,7.621
"bundle1.mtx.hgr","SPM",32,16844,16844,0.00906344410876,8.189
"bundle1.mtx.hgr","SPM",64,19845,19845,0.00602409638554,8.924
"bundle1.mtx.hgr","SPM",128,23487,23487,0,9.42
"c-55.mtx.hgr","SPM",2,3585,3585,0.0199511897498,0.747
"c-55.mtx.hgr","SPM",4,7400,7400,0.0174496644295,1.417
"c-55.mtx.hgr","SPM",8,12779,12779,0.0122010736945,2.061
"c-55.mtx.hgr","SPM",16,18201,18201,0.00780868716447,2.737
"c-55.mtx.hgr","SPM",32,24031,24031,0.00780487804878,3.379
"c-55.mtx.hgr","SPM",64,30600,30600,0.00584795321637,4.057
"c-55.mtx.hgr","SPM",128,38001,38001,0.00389105058366,4.689
"c-61.mtx.hgr","SPM",2,2204,2204,0.0187537255262,0.507
"c-61.mtx.hgr","SPM",4,3831,3831,0.0175149014214,0.967
"c-61.mtx.hgr","SPM",8,5555,5555,0.0137538969375,1.421
"c-61.mtx.hgr","SPM",16,7656,7656,0.013201320132,1.824
"c-61.mtx.hgr","SPM",32,9830,9830,0.0124633431085,2.073
"c-61.mtx.hgr","SPM",64,12606,12606,0.0146627565982,2.707
"c-61.mtx.hgr","SPM",128,16296,16296,0.0058651026393,3.128
"c-64.mtx.hgr","SPM",2,1285,1285,0.0200250803354,2.885
"c-64.mtx.hgr","SPM",4,11136,11136,0.0198291402148,5.908
"c-64.mtx.hgr","SPM",8,17028,17028,0.0197492163009,10.693
"c-64.mtx.hgr","SPM",16,24409,24409,0.0197492163009,14.648
"c-64.mtx.hgr","SPM",32,28911,28911,0.0194357366771,16.606
"c-64.mtx.hgr","SPM",64,33135,33135,0.0187969924812,16.801
"c-64.mtx.hgr","SPM",128,37822,37822,0.0175438596491,19.697
"ca-CondMat.mtx.hgr","SPM",2,3934,3934,0.00121033975966,0.63
"ca-CondMat.mtx.hgr","SPM",4,9036,9036,0,1.08
"ca-CondMat.mtx.hgr","SPM",8,14059,14059,0,1.585
"ca-CondMat.mtx.hgr","SPM",16,19012,19012,0.00345781466113,1.965
"ca-CondMat.mtx.hgr","SPM",32,24120,24120,0,2.321
"ca-CondMat.mtx.hgr","SPM",64,28503,28503,0.00276243093923,2.649
"ca-CondMat.mtx.hgr","SPM",128,33016,33016,0.00552486187845,3.092
"cage10.mtx.hgr","SPM",2,2231,2231,0.0175469380593,0.491
"cage10.mtx.hgr","SPM",4,5278,5278,0.0122807017544,0.834
"cage10.mtx.hgr","SPM",8,8640,8640,0.00982456140351,1.178
"cage10.mtx.hgr","SPM",16,12107,12107,0.0126227208976,1.419
"cage10.mtx.hgr","SPM",32,16682,16682,0.00560224089636,1.812
"cage10.mtx.hgr","SPM",64,22184,22184,0.00558659217877,2.145
"cage10.mtx.hgr","SPM",128,29715,29715,0,2.367
"case39.mtx.hgr","SPM",2,10029,10029,0.0199423115178,1.086
"case39.mtx.hgr","SPM",4,15277,15277,0.0189974139646,1.605
"case39.mtx.hgr","SPM",8,19920,19920,0.019693654267,3.874
"case39.mtx.hgr","SPM",16,23030,23030,0.0178997613365,6.065
"case39.mtx.hgr","SPM",32,25023,25023,0.0111376292761,6.744
"case39.mtx.hgr","SPM",64,26287,26287,0.0143084260731,8.857
"case39.mtx.hgr","SPM",128,31168,31168,0.00952380952381,9.316
"ccc.mtx.hgr","SPM",2,0,0,0,0.139
"ccc.mtx.hgr","SPM",4,5152,5152,0,0.595
"ccc.mtx.hgr","SPM",8,8705,8705,0,0.794
"ccc.mtx.hgr","SPM",16,13697,13697,0.00423177083333,1.326
"ccc.mtx.hgr","SPM",32,16384,16384,0,1.354
"ccc.mtx.hgr","SPM",64,21969,21969,0.00130208333333,1.946
"ccc.mtx.hgr","SPM",128,24576,24576,0,2.101
"cfd1.mtx.hgr","SPM",2,1580,1580,0,1.362
"cfd1.mtx.hgr","SPM",4,3944,3944,0.00441576086957,2.654
"cfd1.mtx.hgr","SPM",8,6630,6630,0.0144927536232,4.412
"cfd1.mtx.hgr","SPM",16,11544,11544,0.0190217391304,6.011
"cfd1.mtx.hgr","SPM",32,21292,21292,0.00905797101449,7.826
"cfd1.mtx.hgr","SPM",64,34898,34898,0.0108695652174,9.341
"cfd1.mtx.hgr","SPM",128,51531,51531,0.0108695652174,12.37
"Chebyshev4.mtx.hgr","SPM",2,1044,1044,0.00381668183553,17.887
"Chebyshev4.mtx.hgr","SPM",4,2104,2104,0.00763313956902,31.235
"Chebyshev4.mtx.hgr","SPM",8,6360,6360,0.00763269140442,40.443
"Chebyshev4.mtx.hgr","SPM",16,10880,10880,0.00775011742602,47.997
"Chebyshev4.mtx.hgr","SPM",32,19904,19904,0.00798496946923,73.525
"Chebyshev4.mtx.hgr","SPM",64,30228,30228,0.0075117370892,89.749
"Chebyshev4.mtx.hgr","SPM",128,50313,50313,0.00750469043152,102.797
"Chem97Zt.mtx.hgr","SPM",2,0,0,6.44703758623e-05,0.08
"Chem97Zt.mtx.hgr","SPM",4,0,0,0,0.155
"Chem97Zt.mtx.hgr","SPM",8,0,0,0.00232078390923,0.228
"Chem97Zt.mtx.hgr","SPM",16,0,0,0.00361010830325,0.3
"Chem97Zt.mtx.hgr","SPM",32,11,11,0.00309278350515,0.404
"Chem97Zt.mtx.hgr","SPM",64,42,42,0.00412371134021,0.516
"Chem97Zt.mtx.hgr","SPM",128,110,110,0.00411522633745,0.637
"circuit_3.mtx.hgr","SPM",2,1325,1325,0.0197889182058,0.218
"circuit_3.mtx.hgr","SPM",4,2880,2880,0.0184696569921,0.541
"circuit_3.mtx.hgr","SPM",8,4526,4526,0.0197889182058,0.762
"circuit_3.mtx.hgr","SPM",16,5395,5395,0.0184696569921,0.757
"circuit_3.mtx.hgr","SPM",32,6011,6011,0.0184696569921,0.959
"circuit_3.mtx.hgr","SPM",64,6488,6488,0.0157894736842,1.022
"circuit_3.mtx.hgr","SPM",128,7146,7146,0.0105263157895,1.198
"ckt11752_dc_1.mtx.hgr","SPM",2,116,116,0,0.684
"ckt11752_dc_1.mtx.hgr","SPM",4,775,775,0.00619668437148,1.31
"ckt11752_dc_1.mtx.hgr","SPM",8,2724,2724,0.0111057460164,1.687
"ckt11752_dc_1.mtx.hgr","SPM",16,5428,5428,0.0128741551336,2.312
"ckt11752_dc_1.mtx.hgr","SPM",32,9726,9726,0.01287001287,2.864
"ckt11752_dc_1.mtx.hgr","SPM",64,13216,13216,0.014157014157,3.349
"ckt11752_dc_1.mtx.hgr","SPM",128,17245,17245,0.012853470437,3.933
"cnr-2000.mtx.hgr","SPM",2,68,68,0,2.716
"cnr-2000.mtx.hgr","SPM",4,588,588,0.00907973952574,3.901
"cnr-2000.mtx.hgr","SPM",8,1404,1404,0.00312077650817,5.648
"cnr-2000.mtx.hgr","SPM",16,2341,2341,0.0141045803027,9.702
"cnr-2000.mtx.hgr","SPM",32,15444,15444,0.0068802830745,12.074
"cnr-2000.mtx.hgr","SPM",64,37315,37315,0.00943581678789,15.2
"cnr-2000.mtx.hgr","SPM",128,56119,56119,0.00904088050314,20.159
"conf5_4-8x8-05.mtx.hgr","SPM",2,0,0,0,0.549
"conf5_4-8x8-05.mtx.hgr","SPM",4,12288,12288,0,1.834
"conf5_4-8x8-05.mtx.hgr","SPM",8,24576,24576,0,3.096
"conf5_4-8x8-05.mtx.hgr","SPM",16,42240,42240,0,4.36
"conf5_4-8x8-05.mtx.hgr","SPM",32,63258,63258,0.00390625,5.684
"conf5_4-8x8-05.mtx.hgr","SPM",64,86280,86280,0,7.047
"conf5_4-8x8-05.mtx.hgr","SPM",128,108954,108954,0,8.493
"copter1.mtx.hgr","SPM",2,945,945,0,0.346
"copter1.mtx.hgr","SPM",4,2100,2100,0.000928936367859,0.544
"copter1.mtx.hgr","SPM",8,4060,4060,0.0120761727822,0.905
"copter1.mtx.hgr","SPM",16,6572,6572,0,1.214
"copter1.mtx.hgr","SPM",32,9303,9303,0.00556586270872,1.526
"copter1.mtx.hgr","SPM",64,13784,13784,0,1.95
"copter1.mtx.hgr","SPM",128,19516,19516,0,2.401
"coupled.mtx.hgr","SPM",2,1808,1808,0.0199259389878,0.33
"coupled.mtx.hgr","SPM",4,3118,3118,0.0193935119887,0.595
"coupled.mtx.hgr","SPM",8,4219,4219,0.0176304654443,0.739
"coupled.mtx.hgr","SPM",16,5525,5525,0.00564174894217,0.955
"coupled.mtx.hgr","SPM",32,7236,7236,0.0112676056338,1.129
"coupled.mtx.hgr","SPM",64,9723,9723,0.00561797752809,1.308
"coupled.mtx.hgr","SPM",128,12631,12631,0.0112359550562,1.518
"crashbasis.mtx.hgr","SPM",2,1856,1856,0,0.927
"crashbasis.mtx.hgr","SPM",4,3708,3708,0,2.716
"crashbasis.mtx.hgr","SPM",8,7072,7072,0,4.002
"crashbasis.mtx.hgr","SPM",16,10948,10948,0,5.451
"crashbasis.mtx.hgr","SPM",32,17932,17932,0,7.055
"crashbasis.mtx.hgr","SPM",64,25138,25138,0,8.465
"crashbasis.mtx.hgr","SPM",128,38106,38106,0,10.543
"cryg10000.mtx.hgr","SPM",2,200,200,0,0.057
"cryg10000.mtx.hgr","SPM",4,385,385,0,0.1
"cryg10000.mtx.hgr","SPM",8,768,768,0,0.171
"cryg10000.mtx.hgr","SPM",16,1118,1118,0.0048,0.234
"cryg10000.mtx.hgr","SPM",32,1700,1700,0,0.338
"cryg10000.mtx.hgr","SPM",64,2487,2487,0,0.47
"cryg10000.mtx.hgr","SPM",128,3566,3566,0,0.608
"crystk02.mtx.hgr","SPM",2,840,840,0.00143204926249,0.674
"crystk02.mtx.hgr","SPM",4,2520,2520,0.00429553264605,1.33
"crystk02.mtx.hgr","SPM",8,4410,4410,0.0103092783505,1.976
"crystk02.mtx.hgr","SPM",16,8052,8052,0.00687285223368,2.873
"crystk02.mtx.hgr","SPM",32,13185,13185,0.0091533180778,3.583
"crystk02.mtx.hgr","SPM",64,21543,21543,0.00913242009132,4.208
"crystk02.mtx.hgr","SPM",128,33257,33257,0,4.945
"dac2012_superblue11.hgr","DAC2012",2,2432,2432,0,7.942
"dac2012_superblue11.hgr","DAC2012",4,4343,4343,0.00827709583542,15.035
