"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"c-55.mtx.hgr","SPM",128,35981,36517.6,0.0272374,52.540632
"c-61.mtx.hgr","SPM",2,2102,2187.6,0.02821771,11.9169419
"c-61.mtx.hgr","SPM",4,3764,3896.1,0.02828975,4.4838737
"c-61.mtx.hgr","SPM",8,5190,5344.4,0.02950668,6.795513
"c-61.mtx.hgr","SPM",16,6759,6985.4,0.02955632,9.218848
"c-61.mtx.hgr","SPM",32,8948,9094.8,0.0293255,13.259275
"c-61.mtx.hgr","SPM",64,11785,11914.5,0.0293255,19.775768
"c-61.mtx.hgr","SPM",128,15434,15605.9,0.0293255,27.45303
"c-64.mtx.hgr","SPM",2,1264,1419.4,0.01913943,23.656552
"c-64.mtx.hgr","SPM",4,8809,9977.7,0.02992402,51.719002
"c-64.mtx.hgr","SPM",8,16170,16781.5,0.02992163,80.67912
"c-64.mtx.hgr","SPM",16,23722,24495,0.0297806,94.34091
"c-64.mtx.hgr","SPM",32,30307,31313.3,0.0294671,139.1206
"c-64.mtx.hgr","SPM",64,35942,36731.1,0.0288221,180.77394
"c-64.mtx.hgr","SPM",128,39790,42793.5,0.0275689,158.19246
"ca-CondMat.mtx.hgr","SPM",2,3872,3953.7,0.02661884,4.20695
"ca-CondMat.mtx.hgr","SPM",4,8725,8956.5,0.02728217,7.633816
"ca-CondMat.mtx.hgr","SPM",8,13230,13399.3,0.02921853,11.312417
"ca-CondMat.mtx.hgr","SPM",16,17702,17970.9,0.02946058,16.444314
"ca-CondMat.mtx.hgr","SPM",32,22152,22230.7,0.0290456,23.76131
"ca-CondMat.mtx.hgr","SPM",64,26075,26191,0.0276243,30.867738
"ca-CondMat.mtx.hgr","SPM",128,29956,30205.2,0.0276243,29.89998
"cage10.mtx.hgr","SPM",2,2233,2313.7,0.02656607,2.0934313
"cage10.mtx.hgr","SPM",4,5128,5212,0.02901756,3.7381755
"cage10.mtx.hgr","SPM",8,8039,8095,0.02926316,6.071902
"cage10.mtx.hgr","SPM",16,11337,11391.9,0.029453,9.02506
"cage10.mtx.hgr","SPM",32,15278,15388.1,0.0280112,12.694237
"cage10.mtx.hgr","SPM",64,20720,20896.5,0.027933,17.8000803
"cage10.mtx.hgr","SPM",128,29019,29236.1,0.0222222,23.00369341
"case39.mtx.hgr","SPM",2,9920,10136.2,0.02921724,163.1560949
"case39.mtx.hgr","SPM",4,15280,15535.8,0.02809827,177.794988
"case39.mtx.hgr","SPM",8,18139,18398.2,0.02649692,134.746579
"case39.mtx.hgr","SPM",16,20121,20303.4,0.0271281,158.21731
"case39.mtx.hgr","SPM",32,21894,22574,0.02927609,213.86879
"case39.mtx.hgr","SPM",64,24251,24816.9,0.02750397,405.12493
"case39.mtx.hgr","SPM",128,28476,29562.2,0.0285714,268.81974
"ccc.mtx.hgr","SPM",2,0,0,0,2.32139341
"ccc.mtx.hgr","SPM",4,4096,4096,0,4.3856477
"ccc.mtx.hgr","SPM",8,8194,8195.9,0.0003092448,6.290392
"ccc.mtx.hgr","SPM",16,13293,13749.2,0.02565104,8.591064
"ccc.mtx.hgr","SPM",32,15696,16081.6,0.02962239,11.465716
"ccc.mtx.hgr","SPM",64,18437,19040.9,0.0299479,15.667714
"ccc.mtx.hgr","SPM",128,21549,22318.5,0.0286458,21.204098
"cfd1.mtx.hgr","SPM",2,1554,1646.8,0.018087648,4.2826966
"cfd1.mtx.hgr","SPM",4,3234,3724.5,0.01875568,6.525428
"cfd1.mtx.hgr","SPM",8,6526,6876.6,0.02891757,10.785925
"cfd1.mtx.hgr","SPM",16,11032,11615.9,0.02982338,17.410302
"cfd1.mtx.hgr","SPM",32,21350,21732.5,0.0298913,30.137576
"cfd1.mtx.hgr","SPM",64,35846,36148,0.0298913,48.981686
"cfd1.mtx.hgr","SPM",128,51916,52626,0.0289855,73.54315
"Chebyshev4.mtx.hgr","SPM",2,1044,1044,0.00381668,203.6998731
"Chebyshev4.mtx.hgr","SPM",4,2104,4593.7,0.013469569,291.791324
"Chebyshev4.mtx.hgr","SPM",8,6392,6883.6,0.0216064,358.537374
"Chebyshev4.mtx.hgr","SPM",16,11086,12179.8,0.0282527,498.605303
"Chebyshev4.mtx.hgr","SPM",32,20558,21993.8,0.02949745,955.17419
"Chebyshev4.mtx.hgr","SPM",64,30908,31692.7,0.029108,2258.68629
"Chebyshev4.mtx.hgr","SPM",128,49698,50143.9,0.0281426,4702.63635
"Chem97Zt.mtx.hgr","SPM",2,0,0,0.0153375022,0.295989844
"Chem97Zt.mtx.hgr","SPM",4,0,0,0.02554154,0.36536496
"Chem97Zt.mtx.hgr","SPM",8,0,0,0.02733369,0.50283743
"Chem97Zt.mtx.hgr","SPM",16,0,0.5,0.028623,0.73021042
"Chem97Zt.mtx.hgr","SPM",32,4,5.4,0.02814433,1.17829836
"Chem97Zt.mtx.hgr","SPM",64,23,26.4,0.02680413,1.9246154
"Chem97Zt.mtx.hgr","SPM",128,86,88.7,0.02716051,3.1878949
"circuit_3.mtx.hgr","SPM",2,1359,1382,0.02965042,2.7220312
